,RU_ID,diff_var,pre_inc,last_inc,diff_inc,peak,MA_inc,RU_ID,Rule_Class
0,SEC0008801_RRKG08101T,0.00021226531107028151,0.005062309707415835,-0.10182801041829137,0.1068903201257072,0.09999999999999964,0.09676570071087554,SEC0008801_RRKG08101T,E
1,SEC0008349_RRKG15077T,0.05538896276595748,1.25,-0.75,2.0,1.0999999999999996,-0.5,SEC0008349_RRKG15077T,B
2,SEC0009399_RRKG13575T,0.0030913210937735585,0.49796352475640404,1.7999999999999972,-1.3020364752435931,0.3000000000000007,-2.1979635247564033,SEC0009399_RRKG13575T,A
3,SEC0008673_RNIC18701T,0.00876316233469381,0.00872348196098649,1.2978152041713447,-1.2890917222103582,1.299999999999999,-1.3065386861323312,SEC0008673_RNIC18701T,A
4,SEC0009142_RRIC02648T,0.2824377551020409,-2.049999999999997,3.7499999999999964,-5.799999999999994,2.8000000000000007,-1.6999999999999993,SEC0009142_RRIC02648T,C
5,SEC0009879_RQKG70643T,0.0006249999999999956,0.09999999999999964,-0.09999999999999964,0.1999999999999993,0.09999999999999964,0.0,SEC0009879_RQKG70643T,E
6,SEC0008524_RRKG03850T,0.012966628959276107,-0.3500000000000014,1.0500000000000043,-1.4000000000000057,0.20000000000000284,-0.7000000000000028,SEC0008524_RRKG03850T,A
7,SEC0009663_RQIC70370T,0.0444119463019536,-0.24477102622013724,3.0500000000000016,-3.294771026220139,2.9000000000000004,-2.8052289737798644,SEC0009663_RQIC70370T,C
8,SEC0009111_RRKG18674T,0.022096530920060403,0.8000000000000043,0.0,0.8000000000000043,0.8000000000000007,-0.8000000000000043,SEC0009111_RRKG18674T,B
9,SEC0009111_RRIC03365T,0.01744375907111751,0.10000000000000142,0.14999999999999858,-0.04999999999999716,0.6999999999999993,-0.3000000000000007,SEC0009111_RRIC03365T,E
10,SEC0008795_RRKG08260T,0.03897058823529425,1.9999999999999982,0.9499999999999993,1.049999999999999,1.6000000000000014,-2.9499999999999975,SEC0008795_RRKG08260T,C
11,SEC0008956_RNKG16802T,0.02424868024132738,1.1500000000000021,0.05000000000000071,1.1000000000000014,1.3000000000000007,-1.2000000000000028,SEC0008956_RNKG16802T,C
12,SEC0009450_RRKG06109T,0.024907142857142767,0.15000000000000213,2.75,-2.599999999999998,2.099999999999998,-2.900000000000002,SEC0009450_RRKG06109T,C
13,SEC0005977_RQIC01949T,0.027189856711915608,0.7000000000000028,0.8499999999999979,-0.14999999999999503,1.1000000000000014,-1.5500000000000007,SEC0005977_RQIC01949T,B
14,SEC0006247_RQKG18372T,0.19296625544267035,3.9499999999999957,0.8000000000000007,3.149999999999995,5.299999999999999,-4.899999999999999,SEC0006247_RQKG18372T,C
15,SEC0009142_RRIC03392T,0.19388062409288823,1.3500000000000014,1.0,0.3500000000000014,2.6000000000000014,-2.3500000000000014,SEC0009142_RRIC03392T,C
16,SEC0008422_RRKG02199T,0.0002394775036284453,0.0,-0.09999999999999964,0.09999999999999964,0.09999999999999964,0.09999999999999964,SEC0008422_RRKG02199T,E
17,SEC0008450_RCKG18781T,0.013912108226471123,0.014788693426243782,1.0369453697302866,-1.0221566763040428,1.4000000000000021,-1.0531098630331144,SEC0008450_RCKG18781T,C
18,SEC0008717_RRKG07107T,0.06471363701052735,-0.31791690814102225,2.1499999999999986,-2.467916908141021,3.1000000000000014,-1.8320830918589763,SEC0008717_RRKG07107T,C
19,SEC0008926_RRKG09757T,0.09085769796908208,0.4545478595787813,1.8999999999999986,-1.4454521404212173,2.400000000000002,-2.35454785957878,SEC0008926_RRKG09757T,C
20,SEC0010388_RQKG71601T,0.018011295994484214,0.015961771377547507,1.3972065830895293,-1.3812448117119818,0.7000000000000011,-1.4131683544670768,SEC0010388_RQKG71601T,A
21,SEC0005980_RQIC02007T,0.008232214669335278,0.6958509628216838,2.6999999999999993,-2.0041490371783155,0.6000000000000014,-3.395850962821683,SEC0005980_RQIC02007T,A
22,SEC0008761_RRKG19833T,0.7362684193243849,0.39430543365356385,-0.8999999999999986,1.2943054336535624,6.599999999999998,0.5056945663464347,SEC0008761_RRKG19833T,E
23,SEC0009940_RQKG70475T,0.2040277869752774,-0.05292591797227786,3.200000000000001,-3.252925917972279,2.700000000000001,-3.147074082027723,SEC0009940_RQKG70475T,C
24,SEC0009005_RRKG10899T,0.002942176870748343,1.549999999999999,3.8500000000000014,-2.3000000000000025,0.3000000000000007,-5.4,SEC0009005_RRKG10899T,A
25,SEC0008916_RCKG09622T,0.033878809869375866,1.6500000000000021,0.34999999999999787,1.3000000000000043,1.7000000000000028,-2.0,SEC0008916_RCKG09622T,C
26,SEC0009107_RRKG30314T,0.016753393665158375,0.5499999999999972,1.6000000000000014,-1.0500000000000043,0.6000000000000014,-2.1499999999999986,SEC0009107_RRKG30314T,B
27,SEC0008926_RNKG09757T,0.06554426705370114,0.3000000000000007,-0.14999999999999858,0.4499999999999993,1.8000000000000007,0.75,SEC0008926_RNKG09757T,E
28,SEC0008447_RNKG48867T,0.01933236574746008,1.1999999999999993,2.450000000000001,-1.2500000000000018,1.0,-3.9000000000000004,SEC0008447_RNKG48867T,A
29,SEC0008447_RRKG48867T,0.012084276018099515,1.0999999999999979,1.6000000000000014,-0.5000000000000036,0.5999999999999996,-2.6999999999999993,SEC0008447_RRKG48867T,B
30,SEC0006281_RNIC00500T,0.0873567119155355,1.3499999999999979,2.6500000000000057,-1.3000000000000078,1.6999999999999993,-4.0000000000000036,SEC0006281_RNIC00500T,A
31,SEC0008653_RRIC01072T,0.12754172714078368,7.5,0.9499999999999993,6.550000000000001,4.5,-8.350000000000001,SEC0008653_RRIC01072T,C
32,SEC0006431_RQKG00195T,0.004570135746606334,0.5500000000000007,3.3999999999999986,-2.849999999999998,0.40000000000000213,-3.9499999999999993,SEC0006431_RQKG00195T,A
33,SEC0008318_RRIC00351T,0.0017760180995475417,0.7999999999999972,0.6000000000000014,0.19999999999999574,0.1999999999999993,-1.3999999999999986,SEC0008318_RRIC00351T,B
34,SEC0009101_RRKG12473T,0.08782837445573302,1.799999999999999,2.9499999999999993,-1.1500000000000004,1.700000000000001,-4.749999999999998,SEC0009101_RRKG12473T,C
35,SEC0009101_RRKG16952T,0.08782837445573302,1.799999999999999,2.9499999999999993,-1.1500000000000004,1.700000000000001,-4.749999999999998,SEC0009101_RRKG16952T,C
